Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Thiamine metabolism	1/15	3.155444e-01	9.967094e-01	0	0	2.795037e+00	3.223952e+00	ALPL
KEGG_2021_Human	Nucleotide excision repair	2/47	3.283089e-01	9.967094e-01	0	0	1.739861e+00	1.937858e+00	ERCC4;POLE2
KEGG_2021_Human	Oxytocin signaling pathway	5/154	3.398435e-01	9.967094e-01	0	0	1.314567e+00	1.418772e+00	CACNG8;NPR2;CAMK4;NFATC3;PPP1R12C
KEGG_2021_Human	Complement and coagulation cascades	3/85	3.564235e-01	9.967094e-01	0	0	1.432361e+00	1.477675e+00	C7;SERPINE1;MASP1
KEGG_2021_Human	ErbB signaling pathway	3/85	3.564235e-01	9.967094e-01	0	0	1.432361e+00	1.477675e+00	ERBB3;ERBB2;PAK6
KEGG_2021_Human	Other glycan degradation	1/18	3.655473e-01	9.967094e-01	0	0	2.301441e+00	2.316078e+00	ENGASE
KEGG_2021_Human	MicroRNAs in cancer	9/310	3.696465e-01	9.967094e-01	0	0	1.171605e+00	1.165991e+00	ERBB3;ERBB2;TNC;BCL2;EP300;MDM4;HOXD10;THBS1;EZH2
KEGG_2021_Human	Cell cycle	4/124	3.740752e-01	9.967094e-01	0	0	1.305118e+00	1.283320e+00	ORC5;ORC6;EP300;CDC14A
KEGG_2021_Human	Hepatitis B	5/162	3.794536e-01	9.967094e-01	0	0	1.247067e+00	1.208436e+00	NFATC3;BCL2;EP300;HSPG2;IKBKE
KEGG_2021_Human	Glycosaminoglycan degradation	1/19	3.813911e-01	9.967094e-01	0	0	2.173472e+00	2.095074e+00	ARSB
KEGG_2021_Human	Hippo signaling pathway	5/163	3.844084e-01	9.967094e-01	0	0	1.239110e+00	1.184651e+00	FRMD6;WNT7B;SERPINE1;FZD6;ID1
KEGG_2021_Human	Fanconi anemia pathway	2/54	3.915250e-01	9.967094e-01	0	0	1.505108e+00	1.411348e+00	POLN;ERCC4
KEGG_2021_Human	Th1 and Th2 cell differentiation	3/92	4.038912e-01	9.967094e-01	0	0	1.319228e+00	1.196025e+00	IFNGR2;NFATC3;PRKCQ
KEGG_2021_Human	Pyrimidine metabolism	2/56	4.091117e-01	9.967094e-01	0	0	1.449214e+00	1.295260e+00	DCK;AK9
KEGG_2021_Human	Rap1 signaling pathway	6/210	4.267057e-01	9.967094e-01	0	0	1.151235e+00	9.804616e-01	ENAH;DOCK4;ID1;RAPGEF6;THBS1;RAPGEF3
KEGG_2021_Human	Influenza A	5/172	4.288295e-01	9.967094e-01	0	0	1.171786e+00	9.921463e-01	CIITA;IFNGR2;EP300;TNFRSF10B;IKBKE
KEGG_2021_Human	Prostate cancer	3/97	4.371775e-01	9.967094e-01	0	0	1.248735e+00	1.033223e+00	ERBB2;BCL2;EP300
KEGG_2021_Human	Apelin signaling pathway	4/137	4.470527e-01	9.967094e-01	0	0	1.176760e+00	9.473845e-01	ADCY10;CAMK4;SERPINE1;SLC9A1
KEGG_2021_Human	Lipid and atherosclerosis	6/215	4.487949e-01	9.967094e-01	0	0	1.123402e+00	9.000578e-01	EIF2AK3;NFATC3;BCL2;OLR1;TNFRSF10B;IKBKE
KEGG_2021_Human	Arachidonic acid metabolism	2/61	4.519380e-01	9.967094e-01	0	0	1.326058e+00	1.053169e+00	ALOX15;CYP4F8
KEGG_2021_Human	cAMP signaling pathway	6/216	4.531923e-01	9.967094e-01	0	0	1.117995e+00	8.848245e-01	ADCY10;GABBR1;CAMK4;EP300;RAPGEF3;SLC9A1
KEGG_2021_Human	Melanogenesis	3/101	4.632937e-01	9.967094e-01	0	0	1.197519e+00	9.213641e-01	WNT7B;FZD6;EP300
KEGG_2021_Human	Basal cell carcinoma	2/63	4.685699e-01	9.967094e-01	0	0	1.282449e+00	9.721860e-01	WNT7B;FZD6
KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	4.817744e-01	9.967094e-01	0	0	1.564337e+00	1.142403e+00	PIGN
KEGG_2021_Human	C-type lectin receptor signaling pathway	3/104	4.825294e-01	9.967094e-01	0	0	1.161769e+00	8.465969e-01	NFATC3;IKBKE;MALT1
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	3/106	4.951698e-01	9.967094e-01	0	0	1.139093e+00	8.006169e-01	JUND;MMP17;BCL2
KEGG_2021_Human	Th17 cell differentiation	3/107	5.014320e-01	9.967094e-01	0	0	1.128082e+00	7.787008e-01	IFNGR2;NFATC3;PRKCQ
KEGG_2021_Human	Gastric cancer	4/149	5.119347e-01	9.967094e-01	0	0	1.078704e+00	7.222553e-01	WNT7B;FZD6;ERBB2;BCL2
KEGG_2021_Human	Amphetamine addiction	2/69	5.165982e-01	9.967094e-01	0	0	1.167242e+00	7.709516e-01	TH;CAMK4
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	4/150	5.171892e-01	9.967094e-01	0	0	1.071261e+00	7.063318e-01	CACNG8;BCL2;RAPGEF3;SLC9A1
KEGG_2021_Human	Linoleic acid metabolism	1/29	5.196536e-01	9.967094e-01	0	0	1.396515e+00	9.141485e-01	ALOX15
KEGG_2021_Human	Central carbon metabolism in cancer	2/70	5.243190e-01	9.967094e-01	0	0	1.150018e+00	7.425148e-01	ERBB2;SLC1A5
KEGG_2021_Human	Transcriptional misregulation in cancer	5/192	5.244949e-01	9.967094e-01	0	0	1.045379e+00	6.746033e-01	HOXA10;ARNT2;NSD2;KDM6A;BAIAP3
KEGG_2021_Human	Adherens junction	2/71	5.319563e-01	9.967094e-01	0	0	1.133293e+00	7.153275e-01	ERBB2;EP300
KEGG_2021_Human	Toxoplasmosis	3/112	5.321294e-01	9.967094e-01	0	0	1.076058e+00	6.788513e-01	CIITA;IFNGR2;BCL2
KEGG_2021_Human	mTOR signaling pathway	4/154	5.379370e-01	9.967094e-01	0	0	1.042478e+00	6.463508e-01	WNT7B;FZD6;TBC1D7;FNIP2
KEGG_2021_Human	Circadian rhythm	1/31	5.433583e-01	9.967094e-01	0	0	1.303280e+00	7.949828e-01	CRY2
KEGG_2021_Human	Galactose metabolism	1/31	5.433583e-01	9.967094e-01	0	0	1.303280e+00	7.949828e-01	GANC
KEGG_2021_Human	Necroptosis	4/159	5.632239e-01	9.967094e-01	0	0	1.008589e+00	5.790089e-01	IFNGR2;ALOX15;BCL2;TNFRSF10B
KEGG_2021_Human	Pentose and glucuronate interconversions	1/34	5.767443e-01	9.967094e-01	0	0	1.184617e+00	6.519616e-01	XYLB
KEGG_2021_Human	JAK-STAT signaling pathway	4/162	5.780280e-01	9.967094e-01	0	0	9.892853e-01	5.422599e-01	IL15RA;IFNGR2;BCL2;EP300
KEGG_2021_Human	Antigen processing and presentation	2/78	5.830368e-01	9.967094e-01	0	0	1.028540e+00	5.549022e-01	CIITA;RFX5
KEGG_2021_Human	Thyroid hormone signaling pathway	3/121	5.845886e-01	9.967094e-01	0	0	9.935245e-01	5.333706e-01	EP300;MED12L;SLC9A1
KEGG_2021_Human	Tyrosine metabolism	1/36	5.976368e-01	9.967094e-01	0	0	1.116810e+00	5.749027e-01	TH
KEGG_2021_Human	Lysosome	3/128	6.227080e-01	9.967094e-01	0	0	9.375484e-01	4.440956e-01	GNPTAB;CTSW;ARSB
KEGG_2021_Human	Taste transduction	2/86	6.362406e-01	9.967094e-01	0	0	9.302002e-01	4.206165e-01	GABBR1;SCN9A
KEGG_2021_Human	Glycine, serine and threonine metabolism	1/40	6.363844e-01	9.967094e-01	0	0	1.002060e+00	4.528833e-01	ALAS2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	5/219	6.410258e-01	9.967094e-01	0	0	9.122082e-01	4.056458e-01	IL15RA;CRTC2;NFATC3;TSPO;EP300
KEGG_2021_Human	Cardiac muscle contraction	2/87	6.425036e-01	9.967094e-01	0	0	9.192094e-01	4.066424e-01	CACNG8;SLC9A1
KEGG_2021_Human	Ferroptosis	1/41	6.454748e-01	9.967094e-01	0	0	9.769578e-01	4.276820e-01	ALOX15
KEGG_2021_Human	Vascular smooth muscle contraction	3/133	6.484353e-01	9.967094e-01	0	0	9.012562e-01	3.904179e-01	NPR2;PRKCQ;PPP1R12C
KEGG_2021_Human	Estrogen signaling pathway	3/137	6.681030e-01	9.967094e-01	0	0	8.741725e-01	3.525650e-01	KRT33A;GABBR1;BCL2
KEGG_2021_Human	Measles	3/139	6.776312e-01	9.967094e-01	0	0	8.612281e-01	3.351487e-01	EIF2AK3;BCL2;IKBKE
KEGG_2021_Human	Ubiquitin mediated proteolysis	3/140	6.823190e-01	9.967094e-01	0	0	8.548976e-01	3.267915e-01	FBXW7;UBE2C;RHOBTB1
KEGG_2021_Human	IL-17 signaling pathway	2/94	6.839782e-01	9.967094e-01	0	0	8.489633e-01	3.224611e-01	JUND;IKBKE
KEGG_2021_Human	Type II diabetes mellitus	1/46	6.876352e-01	9.967094e-01	0	0	8.681838e-01	3.251321e-01	ABCC8
KEGG_2021_Human	Staphylococcus aureus infection	2/95	6.895704e-01	9.967094e-01	0	0	8.397914e-01	3.121391e-01	KRT33A;MASP1
KEGG_2021_Human	Pyruvate metabolism	1/47	6.954467e-01	9.967094e-01	0	0	8.492666e-01	3.084545e-01	LDHD
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	2/97	7.005105e-01	9.967094e-01	0	0	8.220269e-01	2.925971e-01	INPPL1;ASAP3
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	1/48	7.030631e-01	9.967094e-01	0	0	8.311544e-01	2.928228e-01	CYB5R2
KEGG_2021_Human	Intestinal immune network for IgA production	1/48	7.030631e-01	9.967094e-01	0	0	8.311544e-01	2.928228e-01	IL15RA
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	2/98	7.058596e-01	9.967094e-01	0	0	8.134222e-01	2.833466e-01	PRKCQ;TRPM8
KEGG_2021_Human	Cocaine addiction	1/49	7.104895e-01	9.967094e-01	0	0	8.137969e-01	2.781567e-01	TH
KEGG_2021_Human	Breast cancer	3/147	7.137150e-01	9.967094e-01	0	0	8.130460e-01	2.742173e-01	WNT7B;FZD6;ERBB2
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	7.163190e-01	9.967094e-01	0	0	7.967396e-01	2.658159e-01	SERPINE1;BCL2
KEGG_2021_Human	Cholesterol metabolism	1/50	7.177305e-01	9.967094e-01	0	0	7.971478e-01	2.643830e-01	TSPO
KEGG_2021_Human	Malaria	1/50	7.177305e-01	9.967094e-01	0	0	7.971478e-01	2.643830e-01	THBS1
KEGG_2021_Human	Cell adhesion molecules	3/148	7.179991e-01	9.967094e-01	0	0	8.073971e-01	2.674802e-01	MAG;NRXN2;NRCAM
KEGG_2021_Human	Human papillomavirus infection	7/331	7.225651e-01	9.967094e-01	0	0	8.421096e-01	2.736416e-01	WNT7B;COL6A2;FZD6;TNC;EP300;IKBKE;THBS1
KEGG_2021_Human	Chagas disease	2/102	7.264644e-01	9.967094e-01	0	0	7.807243e-01	2.494927e-01	IFNGR2;SERPINE1
KEGG_2021_Human	Phagosome	3/152	7.346389e-01	9.967094e-01	0	0	7.855596e-01	2.422479e-01	MRC1;OLR1;THBS1
KEGG_2021_Human	Shigellosis	5/246	7.380801e-01	9.967094e-01	0	0	8.088766e-01	2.456582e-01	MYL5;BCL2;PRKCQ;MALT1;U2AF1L4
KEGG_2021_Human	Salmonella infection	5/249	7.475762e-01	9.967094e-01	0	0	7.988070e-01	2.323882e-01	MYL5;BCL2;PLEKHM1;TNFRSF10B;PIK3C2G
KEGG_2021_Human	Viral carcinogenesis	4/203	7.489534e-01	9.967094e-01	0	0	7.837978e-01	2.265791e-01	GTF2B;EP300;GTF2E1;HDAC9
KEGG_2021_Human	Glucagon signaling pathway	2/107	7.504907e-01	9.967094e-01	0	0	7.433554e-01	2.133639e-01	CRTC2;EP300
KEGG_2021_Human	Insulin resistance	2/108	7.550725e-01	9.967094e-01	0	0	7.363046e-01	2.068586e-01	CRTC2;PRKCQ
KEGG_2021_Human	Hedgehog signaling pathway	1/56	7.575344e-01	9.967094e-01	0	0	7.099671e-01	1.971482e-01	BCL2
KEGG_2021_Human	Endometrial cancer	1/58	7.695158e-01	9.967094e-01	0	0	6.849856e-01	1.794619e-01	ERBB2
KEGG_2021_Human	Notch signaling pathway	1/59	7.752831e-01	9.967094e-01	0	0	6.731408e-01	1.713325e-01	EP300
KEGG_2021_Human	VEGF signaling pathway	1/59	7.752831e-01	9.967094e-01	0	0	6.731408e-01	1.713325e-01	MAPKAPK3
KEGG_2021_Human	Cholinergic synapse	2/113	7.769061e-01	9.967094e-01	0	0	7.029565e-01	1.774514e-01	CAMK4;BCL2
KEGG_2021_Human	Serotonergic synapse	2/113	7.769061e-01	9.967094e-01	0	0	7.029565e-01	1.774514e-01	ALOX15;RAPGEF3
KEGG_2021_Human	Human immunodeficiency virus 1 infection	4/212	7.783728e-01	9.967094e-01	0	0	7.495338e-01	1.877954e-01	DCAF1;NFATC3;BCL2;PAK6
KEGG_2021_Human	Leukocyte transendothelial migration	2/114	7.810632e-01	9.967094e-01	0	0	6.966442e-01	1.721402e-01	MYL5;RAPGEF3
KEGG_2021_Human	PI3K-Akt signaling pathway	7/354	7.833734e-01	9.967094e-01	0	0	7.853495e-01	1.917398e-01	CRTC2;ERBB3;COL6A2;ERBB2;TNC;BCL2;THBS1
KEGG_2021_Human	Hepatocellular carcinoma	3/168	7.935325e-01	9.967094e-01	0	0	7.087977e-01	1.639171e-01	WNT7B;DPF1;FZD6
KEGG_2021_Human	Cytosolic DNA-sensing pathway	1/63	7.969473e-01	9.967094e-01	0	0	6.295828e-01	1.428944e-01	IKBKE
KEGG_2021_Human	Growth hormone synthesis, secretion and action	2/119	8.008443e-01	9.967094e-01	0	0	6.667011e-01	1.480668e-01	ADCY10;EP300
KEGG_2021_Human	Neurotrophin signaling pathway	2/119	8.008443e-01	9.967094e-01	0	0	6.667011e-01	1.480668e-01	CAMK4;BCL2
KEGG_2021_Human	GnRH secretion	1/64	8.020294e-01	9.967094e-01	0	0	6.195576e-01	1.366806e-01	GABBR1
KEGG_2021_Human	Inflammatory bowel disease	1/65	8.069846e-01	9.967094e-01	0	0	6.098456e-01	1.307818e-01	IFNGR2
KEGG_2021_Human	Fc epsilon RI signaling pathway	1/68	8.211197e-01	9.967094e-01	0	0	5.824492e-01	1.147928e-01	BTK
KEGG_2021_Human	Mitophagy	1/68	8.211197e-01	9.967094e-01	0	0	5.824492e-01	1.147928e-01	EIF2AK3
KEGG_2021_Human	Adipocytokine signaling pathway	1/69	8.255980e-01	9.967094e-01	0	0	5.738542e-01	1.099776e-01	PRKCQ
KEGG_2021_Human	Prolactin signaling pathway	1/70	8.299643e-01	9.967094e-01	0	0	5.655084e-01	1.053953e-01	TH
KEGG_2021_Human	RIG-I-like receptor signaling pathway	1/70	8.299643e-01	9.967094e-01	0	0	5.655084e-01	1.053953e-01	IKBKE
KEGG_2021_Human	NOD-like receptor signaling pathway	3/181	8.329965e-01	9.967094e-01	0	0	6.565898e-01	1.199759e-01	PSTPIP1;BCL2;IKBKE
KEGG_2021_Human	Coronavirus disease	4/232	8.339592e-01	9.967094e-01	0	0	6.830764e-01	1.240267e-01	C7;RPL23;MASP1;IKBKE
KEGG_2021_Human	Thermogenesis	4/232	8.339592e-01	9.967094e-01	0	0	6.830764e-01	1.240267e-01	ADCY10;NDUFAF4;DPF1;COX10
KEGG_2021_Human	Non-small cell lung cancer	1/72	8.383724e-01	9.967094e-01	0	0	5.495220e-01	9.687680e-02	ERBB2
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	2/131	8.419805e-01	9.967094e-01	0	0	6.043080e-01	1.039400e-01	IFNGR2;TNFRSF10B
KEGG_2021_Human	Alcoholism	3/186	8.463560e-01	9.967094e-01	0	0	6.384849e-01	1.065090e-01	TH;CAMK4;HDAC9
KEGG_2021_Human	PPAR signaling pathway	1/74	8.463656e-01	9.967094e-01	0	0	5.344116e-01	8.914194e-02	OLR1
KEGG_2021_Human	Glioma	1/75	8.502129e-01	9.967094e-01	0	0	5.271627e-01	8.554187e-02	CAMK4
KEGG_2021_Human	Calcium signaling pathway	4/240	8.526939e-01	9.967094e-01	0	0	6.596473e-01	1.051178e-01	P2RX6;ERBB3;CAMK4;ERBB2
KEGG_2021_Human	Chronic myeloid leukemia	1/76	8.539641e-01	9.967094e-01	0	0	5.201071e-01	8.210726e-02	MECOM
KEGG_2021_Human	Gastric acid secretion	1/76	8.539641e-01	9.967094e-01	0	0	5.201071e-01	8.210726e-02	SLC9A1
KEGG_2021_Human	Pancreatic cancer	1/76	8.539641e-01	9.967094e-01	0	0	5.201071e-01	8.210726e-02	ERBB2
KEGG_2021_Human	Neuroactive ligand-receptor interaction	6/341	8.565435e-01	9.967094e-01	0	0	6.962914e-01	1.078208e-01	P2RX6;GABBR1;CHRNA2;CHRNA5;GRID1;TSPO
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	8.576216e-01	9.967094e-01	0	0	5.132372e-01	7.882928e-02	CACNG8
KEGG_2021_Human	Leishmaniasis	1/77	8.576216e-01	9.967094e-01	0	0	5.132372e-01	7.882928e-02	IFNGR2
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	3/193	8.634967e-01	9.967094e-01	0	0	6.147390e-01	9.022227e-02	NFATC3;EP300;IKBKE
KEGG_2021_Human	RNA degradation	1/79	8.646645e-01	9.967094e-01	0	0	5.000257e-01	7.271059e-02	CNOT10
KEGG_2021_Human	Parkinson disease	4/249	8.715995e-01	9.967094e-01	0	0	6.351185e-01	8.728132e-02	DAXX;TH;EIF2AK3;MAPT
KEGG_2021_Human	Peroxisome	1/82	8.745823e-01	9.967094e-01	0	0	4.814319e-01	6.451616e-02	PECR
KEGG_2021_Human	Spinocerebellar ataxia	2/143	8.752665e-01	9.967094e-01	0	0	5.525351e-01	7.361250e-02	KCND3;GTF2B
KEGG_2021_Human	Herpes simplex virus 1 infection	9/498	8.771602e-01	9.967094e-01	0	0	7.141104e-01	9.359534e-02	DAXX;ZNF19;IFNGR2;EIF2AK3;BCL2;IKBKE;ZNF235;ZIK1;ZNF7
KEGG_2021_Human	Endocytosis	4/252	8.774200e-01	9.967094e-01	0	0	6.273379e-01	8.203663e-02	ZFYVE16;ACAP1;ASAP3;RAB11FIP3
KEGG_2021_Human	Epstein-Barr virus infection	3/202	8.830528e-01	9.967094e-01	0	0	5.866632e-01	7.296349e-02	BTK;BCL2;IKBKE
KEGG_2021_Human	Colorectal cancer	1/86	8.866867e-01	9.967094e-01	0	0	4.586818e-01	5.516269e-02	BCL2
KEGG_2021_Human	Insulin secretion	1/86	8.866867e-01	9.967094e-01	0	0	4.586818e-01	5.516269e-02	ABCC8
KEGG_2021_Human	Spliceosome	2/150	8.915740e-01	9.967094e-01	0	0	5.262113e-01	6.039163e-02	CDC40;U2AF1L4
KEGG_2021_Human	GABAergic synapse	1/89	8.949935e-01	9.967094e-01	0	0	4.429765e-01	4.914330e-02	GABBR1
KEGG_2021_Human	Bile secretion	1/90	8.976250e-01	9.967094e-01	0	0	4.379766e-01	4.730272e-02	SLC9A1
KEGG_2021_Human	Hypertrophic cardiomyopathy	1/90	8.976250e-01	9.967094e-01	0	0	4.379766e-01	4.730272e-02	CACNG8
KEGG_2021_Human	Morphine addiction	1/91	9.001908e-01	9.967094e-01	0	0	4.330879e-01	4.553856e-02	GABBR1
KEGG_2021_Human	Cushing syndrome	2/155	9.019865e-01	9.967094e-01	0	0	5.088834e-01	5.249426e-02	WNT7B;FZD6
KEGG_2021_Human	Small cell lung cancer	1/92	9.026924e-01	9.967094e-01	0	0	4.283066e-01	4.384723e-02	BCL2
KEGG_2021_Human	Cellular senescence	2/156	9.039539e-01	9.967094e-01	0	0	5.055528e-01	5.104918e-02	SERPINE1;NFATC3
KEGG_2021_Human	Salivary secretion	1/93	9.051314e-01	9.967094e-01	0	0	4.236293e-01	4.222533e-02	SLC9A1
KEGG_2021_Human	Hepatitis C	2/157	9.058844e-01	9.967094e-01	0	0	5.022652e-01	4.964570e-02	EIF2AK3;IKBKE
KEGG_2021_Human	Pathways of neurodegeneration	8/475	9.092699e-01	9.967094e-01	0	0	6.640820e-01	6.316303e-02	DAXX;DNAI2;WNT7B;DNAH14;FZD6;EIF2AK3;BCL2;MAPT
KEGG_2021_Human	Dilated cardiomyopathy	1/96	9.120883e-01	9.967094e-01	0	0	4.101881e-01	3.774487e-02	CACNG8
KEGG_2021_Human	Circadian entrainment	1/97	9.142923e-01	9.967094e-01	0	0	4.058944e-01	3.637017e-02	ADCY10
KEGG_2021_Human	Aldosterone synthesis and secretion	1/98	9.164410e-01	9.967094e-01	0	0	4.016892e-01	3.505042e-02	CAMK4
KEGG_2021_Human	mRNA surveillance pathway	1/98	9.164410e-01	9.967094e-01	0	0	4.016892e-01	3.505042e-02	UPF3B
KEGG_2021_Human	Pathways in cancer	9/531	9.166642e-01	9.967094e-01	0	0	6.678044e-01	5.810840e-02	ARNT2;IL15RA;MECOM;IFNGR2;WNT7B;FZD6;ERBB2;BCL2;EP300
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	1/100	9.205786e-01	9.967094e-01	0	0	3.935337e-01	3.256604e-02	TNFRSF10B
